product_id,subcategory_id,brand,material,vendor_name,min_order_qty,max_order_qty,launch_date,rating,occasion,style,season,gender,product_name,product_desc,created_at,updated_at
1,1,Van Heusen,Cotton,"Woods, Rose and Smith",1,3,2025-06-14 06:57:32+05:30,0,Office,Formal,Summer,Unisex,Unisex Formal Shirt - Cotton | 'Summer',This Cotton Shirt is perfect for Summer days. Designed with a Formal fit and it complements any Unisex's wardrobe.,2025-06-14 06:57:32+05:30,2025-06-14 06:57:32+05:30
2,1,Arrow,Oxford,Heath Ltd,1,3,2025-05-22 11:37:22+05:30,0,DailyWear,Casual,Winter,Unisex,Unisex Casual Shirt - Oxford | 'Winter',This Oxford Shirt is perfect for Winter days. Designed with a Casual fit and it complements any Unisex's wardrobe.,2025-05-22 11:37:22+05:30,2025-05-22 11:37:22+05:30
3,1,H&M,Linen,Castillo Group,1,3,2025-06-21 15:57:38+05:30,0,Travel,Formal,Summer,Unisex,Unisex Formal Shirt - Linen | 'Summer',This Linen Shirt is perfect for Summer days. Designed with a Formal fit and it complements any Unisex's wardrobe.,2025-06-21 15:57:38+05:30,2025-06-21 15:57:38+05:30
4,1,Allen Solly,Oxford,Dixon-Madden,1,3,2025-05-28 19:37:33+05:30,0,Office,Formal,Winter,Women,Women Formal Shirt - Oxford | 'Winter',This Oxford Shirt is perfect for Winter days. Designed with a Formal fit and it complements any Women's wardrobe.,2025-05-28 19:37:33+05:30,2025-05-28 19:37:33+05:30
5,1,Zara,Denim,"Woods, Rose and Smith",1,3,2025-06-14 09:25:11+05:30,0,Festival,Formal,Winter,Men,Men Formal Shirt - Denim | 'Winter',This Denim Shirt is perfect for Winter days. Designed with a Formal fit and it complements any Men's wardrobe.,2025-06-14 09:25:11+05:30,2025-06-14 09:25:11+05:30
6,2,Nike,Polyester,Dixon-Madden,1,3,2025-06-02 00:05:35+05:30,0,Festival,Formal,Winter,Men,Men Formal T-shirt - Polyester | 'Winter',This Polyester T-shirt is perfect for Winter days. Designed with a Formal fit and it complements any Men's wardrobe.,2025-06-02 00:05:35+05:30,2025-06-02 00:05:35+05:30
7,2,Uniqlo,Lycra,Heath Ltd,1,3,2025-05-27 07:11:40+05:30,0,Festival,Formal,Summer,Women,Women Formal T-shirt - Lycra | 'Summer',This Lycra T-shirt is perfect for Summer days. Designed with a Formal fit and it complements any Women's wardrobe.,2025-05-27 07:11:40+05:30,2025-05-27 07:11:40+05:30
8,2,Adidas,Polyester,"Ross, Adams and Jones",1,3,2025-06-07 12:53:49+05:30,0,Travel,Formal,Winter,Men,Men Formal T-shirt - Polyester | 'Winter',This Polyester T-shirt is perfect for Winter days. Designed with a Formal fit and it complements any Men's wardrobe.,2025-06-07 12:53:49+05:30,2025-06-07 12:53:49+05:30
9,2,H&M,Cotton,Huffman LLC,1,3,2025-06-20 00:30:08+05:30,0,DailyWear,Formal,Winter,Men,Men Formal T-shirt - Cotton | 'Winter',This Cotton T-shirt is perfect for Winter days. Designed with a Formal fit and it complements any Men's wardrobe.,2025-06-20 00:30:08+05:30,2025-06-20 00:30:08+05:30
10,2,Puma,Bamboo,"Henderson, Berg and Lee",1,3,2025-06-19 20:35:07+05:30,0,Travel,Casual,Summer,Men,Men Casual T-shirt - Bamboo | 'Summer',This Bamboo T-shirt is perfect for Summer days. Designed with a Casual fit and it complements any Men's wardrobe.,2025-06-19 20:35:07+05:30,2025-06-19 20:35:07+05:30
11,3,ASOS,Rayon,Castillo Group,1,3,2025-06-02 18:17:39+05:30,0,Travel,Formal,Summer,Women,Women Formal Crop-top - Rayon | 'Summer',This Rayon Crop-top is perfect for Summer days. Designed with a Formal fit and it complements any Women's wardrobe.,2025-06-02 18:17:39+05:30,2025-06-02 18:17:39+05:30
